id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
COM-001,compromis,"We nemen gewoon een konijntje. Konijntjes lossen alles op.",konijntje.png,"Konijntje (Aka The Junkies)",geverifieerd,22,,"Sterke universele punchline"
COM-002,compromis,"We bellen de Zwoele Man als bemiddelaar.",zwoele-man.png,"Zwoele man",geverifieerd,21,,
COM-003,compromis,"We zetten er een pilon tussen en zeggen er niets meer over.",pilon.png,"pilon",geverifieerd,20,,
COM-004,compromis,"Voortaan ruziën we alleen nog op de trampoline.",trampoline.png,"Trampoline",origineel,,,
COM-005,compromis,"Werner de walvis verhuist erbij in. Probleem opgelost?",werner-walvis.png,"Werner de walvis",origineel,,,
COM-006,compromis,"We doen het allebei 25 seconden lang. Daarna nooit meer.",25secondenlang.png,"#25secondenlang",origineel,,,
COM-007,compromis,"We worden samen een vliegende koe en zweven hier weg.",vliegende-koe.png,"De Vliegende Koe",origineel,,,
COM-008,compromis,"We maken er een djingle djengle van en zingen onze excuses.",djingle-djengle.png,"Djingle Djengle",geverifieerd,19,,
COM-009,compromis,"Die Groene wordt half robot zodat hij eindelijk luistert.",half-robot.png,"Half Robot",origineel,,,
COM-010,compromis,"We plassen onze problemen samen in één putje weg.",putjesplasser.png,"Putjesplasser",origineel,,,
COM-011,compromis,"We vragen de albatros om relatieadvies. Hij weet ook niks.",albatros.png,"Albatros",origineel,,,
COM-012,compromis,"Die Roze wordt ridder en vecht voortaan onze ruzies uit.",de-ridder.png,"De Ridder",origineel,,,
COM-013,compromis,"Verhuizen naar het zeehondencentrum. Frisse start.",zeehondencentra.png,"Zeehondencentra",origineel,,,
COM-014,compromis,"We stappen in een luchtballon en laten het verleden los.",luchtballon.png,"De Luchtballon Mensen",origineel,,,
COM-015,compromis,"We nieten onze relatie symbolisch weer aan elkaar.",nietmachine.png,"Nietmachine",origineel,,,
COM-016,compromis,"Voortaan papegaait Die Groene alles wat Die Roze zegt. Lief toch?",papegaai.png,"Papegaai",origineel,,,
COM-017,compromis,"We geven Wiebe (het kind) de schuld. Klassiek.",wiebe.png,"Wiebe",geverifieerd,18,,
COM-018,compromis,"We drinken het samen weg. Net als Wiebe.",wiebe-drank.png,"Wiebe (drank)",onzeker,,,
COM-019,compromis,"Cleeuwn komt langs. Niemand lacht. We zijn weer verbonden.",cleeuwn.png,"Cleeuwn",geverifieerd,,,
COM-020,compromis,"We roepen allebei heel hard: NIEUW! En beginnen opnieuw.",nieuw.png,"Nieuw!",origineel,,,
COM-021,compromis,"We accepteren dat onze liefde instabiel is. Zei de kat.",instabiel-kat.png,"Instabiel zei de kat",origineel,,,
COM-022,compromis,"Die Groene vertelt een koraal-verhaal tot Die Roze in slaap valt.",koraal-verhaal.png,"Koraal Verhaal",origineel,,,
COM-023,compromis,"We geven allebei toe: we snappen het zelf ook niet helemaal.",ik-snap-het-niet.png,"Peter Lub-citaat",geverifieerd,21,,
COM-024,compromis,"We lossen het anoniem op. Niemand hoeft te weten wie fout zat.",anoniem.png,"Peter Lub-citaat",geverifieerd,,,
COM-025,compromis,"We worden supermegaberenbonken-sterk en negeren het probleem.",supermegaberenbonken.png,"Supermegaberenbonken",origineel,,,
COM-026,compromis,"Die Roze krijgt voortaan álle aandacht. Constant.",aandacht.png,"Aandacht",origineel,,,
COM-027,compromis,"We zingen Karlijns serenade. Vals, maar samen.",karlijns-serenade.png,"Karlijns Serenade",origineel,,,
COM-028,compromis,"We doen gewoon Josje. Niemand weet wat dat oplost, maar het werkt.",josje.png,"Josje",origineel,,,
COM-029,compromis,"We omarmen het ongemak. Voor altijd, samen.",ongemakkelijk.png,"Ongemakkelijk",origineel,,,
COM-030,compromis,"We zeggen allebei: 'Ik was erbij.' En we laten het zo.",ik-was-erbij.png,"Ik Was Erbij",origineel,,,
COM-031,compromis,"Gola. Dat is ons nieuwe codewoord voor 'sorry'.",gola.png,"Gola",origineel,,,
COM-032,compromis,"We worden Die Groene én Die Roze. O wacht, dat zijn we al.",groene-roze-bank.png,"Die Groene & Die Roze",geverifieerd,,,
COM-033,compromis,"Tweede pilon erbij. Nu is het officieel een relatie.",pilon-twee.png,"pilon",geverifieerd,,,
COM-034,compromis,"Nog een konijntje. Het maakt alles altijd beter.",konijntje-2.png,"Konijntje",geverifieerd,,,
COM-035,compromis,"De Zwoele Man fluistert dat het wel goedkomt. We geloven hem.",zwoele-man-fluister.png,"Zwoele man",geverifieerd,,,
COM-036,compromis,"We maken een liedje over niets. Over ons, dus.",liedje-over-niets.png,"Djingle Djengle",origineel,,,
COM-037,compromis,"De vliegende koe haalt ons allebei op voor een time-out.",vliegende-koe-2.png,"De Vliegende Koe",origineel,,,
COM-038,compromis,"Doen alsof alles nieuw is. Alles is NIEUW!",nieuw-2.png,"Nieuw!",origineel,,,
COM-039,compromis,"We vliegen als twee albatrossen weg van onze problemen.",albatros-2.png,"Albatros",origineel,,,
COM-040,compromis,"Niets doen. Het duurt toch maar 25 seconden.",25secondenlang-2.png,"#25secondenlang",origineel,,,
COM-041,compromis,"We markeren samen ons territorium. Als putjesplassers.",putjesplasser-2.png,"Putjesplasser",origineel,,,
COM-042,compromis,"We bonken er supermegaberen tegenaan tot het over is.",supermegaberenbonken-2.png,"Supermegaberenbonken",origineel,,,
COM-043,compromis,"Allebei half robot. Halve gevoelens, halve ruzie.",half-robot-2.png,"Half Robot",origineel,,,
COM-044,compromis,"Werner de walvis gaat ertussen liggen. Druk = comfort.",werner-walvis-2.png,"Werner de walvis",origineel,,,
COM-045,compromis,"We gaan allebei in een zeehondencentrum werken.",zeehondencentra-2.png,"Zeehondencentra",origineel,,,
COM-046,compromis,"We springen samen uit de luchtballon van onze gedachten.",luchtballon-2.png,"De Luchtballon Mensen",origineel,,,
COM-047,compromis,"Die Roze lost het ridderlijk op. Met een zwaard. Onorthodox.",de-ridder-2.png,"De Ridder",origineel,,,
COM-048,compromis,"We papegaaien elkaars excuses tot ze betekenisloos klinken.",papegaai-2.png,"Papegaai",origineel,,,
COM-049,compromis,"Een koraal-verhaal als gezamenlijke afleiding.",koraal-verhaal-2.png,"Koraal Verhaal",origineel,,,
COM-050,compromis,"We worden allebei Josje. Verwarrend, maar verbindend.",josje-2.png,"Josje",origineel,,,
COM-051,compromis,"We voelen samen 'gola' en dat is genoeg voor vandaag.",gola-2.png,"Gola",origineel,,,
COM-052,compromis,"We vragen Wiebe om raad. Hij snapt het ook niet, maar oké.",wiebe-2.png,"Wiebe",geverifieerd,,,
COM-053,compromis,"Stabiele instabiliteit. We blijven samen wankelen.",instabiel-kat-2.png,"Instabiel zei de kat",origineel,,,
COM-054,compromis,"Voortaan krijgen we allebei nóg meer aandacht. Werkt nooit. Toch doen.",aandacht-2.png,"Aandacht",origineel,,,
COM-055,compromis,"We doen het lekker ongemakkelijk. Heel ongemakkelijk. Samen.",ongemakkelijk-2.png,"Ongemakkelijk",origineel,,,
COM-056,compromis,"We zeggen: we waren er allebei bij. Diep. Klaar.",ik-was-erbij-2.png,"Ik Was Erbij",origineel,,,
COM-057,compromis,"We laten de nietmachine beslissen. Niet alles vast.",nietmachine-2.png,"Nietmachine",origineel,,,
COM-058,compromis,"We veren allebei van ons verdriet af op de trampoline.",trampoline-2.png,"Trampoline",origineel,,,
COM-059,compromis,"Cleeuwn wordt onze relatietherapeut. God help ons.",cleeuwn-2.png,"Cleeuwn",geverifieerd,,,
COM-060,compromis,"We roepen samen 'gola', zoenen, en doen alsof dit normaal is.",gola.png,"Gola",origineel,,,
