id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
VRA-001,vraag,"Die Roze: 'Waarom kijk je nooit meer zwoel naar me?'",groene-roze-bank.png,"Die Groene & Die Roze",geverifieerd,,,"Couple still"
VRA-002,vraag,"Het is jullie jubileum. Die Groene is het vergeten. Wat doet hij?",groene-vergeet.png,"Die Groene",geverifieerd,,,
VRA-003,vraag,"Die Roze wil de hele dag op de bank. Die Groene wil avontuur. Wie wint?",groene-roze-ruzie.png,"Die Groene & Die Roze",geverifieerd,,,
VRA-004,vraag,"'Wie heeft de laatste konijntje opgegeten?' vraagt Die Roze beschuldigend.",konijntje.png,"Konijntje",geverifieerd,,,
VRA-005,vraag,"Die Groene snurkt als Werner de walvis. Hoe lost het stel dit op?",werner-walvis.png,"Werner de walvis",geverifieerd,,,
VRA-006,vraag,"Die Roze: 'Je bent te laat. Weer.' Wat is Die Groene's excuus?",te-laat.png,"Te laat",onzeker,,,
VRA-007,vraag,"Het stel gaat samen in therapie. Wat is hun grootste probleem?",groene-roze-therapie.png,"Die Groene & Die Roze",geverifieerd,,,
VRA-008,vraag,"Die Groene wil een huisdier. Die Roze wil een pilon. Compromis?",pilon.png,"pilon",geverifieerd,,,
VRA-009,vraag,"'Hou je nog wel van me?' vraagt Die Roze. Die Groene zingt zijn antwoord.",groene-zingt.png,"Die Groene",geverifieerd,,,
VRA-010,vraag,"Die Roze flirt met de Zwoele Man. Hoe reageert Die Groene?",zwoele-man.png,"Zwoele man",geverifieerd,,,
VRA-011,vraag,"Het stel maakt ruzie over wie de afwas doet. Al 6 dagen.",groene-roze-keuken.png,"Die Groene & Die Roze",geverifieerd,,,
VRA-012,vraag,"Die Groene wil verhuizen naar een zeehondencentrum. Wat zegt Die Roze?",zeehondencentra.png,"Zeehondencentra",origineel,,,
VRA-013,vraag,"'Je luistert nooit naar me,' zegt Die Roze. Die Groene papegaait dit terug.",papegaai.png,"Papegaai",origineel,,,
VRA-014,vraag,"Het stel plant de bruiloft. Die Groene wil een trampoline op het altaar.",trampoline.png,"Trampoline",origineel,,,
VRA-015,vraag,"Die Roze: 'Beschrijf onze relatie in één woord.' Die Groene zegt:",groene-roze-bank.png,"Die Groene & Die Roze",geverifieerd,,,
VRA-016,vraag,"Wiebe (hun kind) heeft weer drank gevonden. Wie krijgt de schuld?",wiebe-drank.png,"Wiebe (drank)",onzeker,,,
VRA-017,vraag,"Die Groene koopt cadeau: één nietmachine. Hoe redt hij dit?",nietmachine.png,"Nietmachine",origineel,,,
VRA-018,vraag,"'Voel je je nog aangetrokken tot me?' Die Roze wacht zwoel op antwoord.",zwoele-man.png,"Zwoele man",geverifieerd,,,
VRA-019,vraag,"Het stel zit vast in een luchtballon. Nu pas blijkt: ze haten elkaars muziek.",luchtballon.png,"De Luchtballon Mensen",origineel,,,
VRA-020,vraag,"Die Groene heeft Die Roze's serenade vergeten. Op haar verjaardag.",karlijns-serenade.png,"Karlijns Serenade",origineel,,,
VRA-021,vraag,"'Waar was je gisteravond?' Die Groene antwoordt te eerlijk.",groene-betrapt.png,"Die Groene",geverifieerd,,,
VRA-022,vraag,"Die Roze wil praten over gevoelens. Die Groene wil half robot worden.",half-robot.png,"Half Robot",origineel,,,
VRA-023,vraag,"Het stel doet een relatietest. Eerste vraag laat alles al instorten.",instabiel-kat.png,"Instabiel zei de kat",origineel,,,
VRA-024,vraag,"Die Groene: 'Ik heb iets bekend te maken.' Die Roze zet zich schrap.",groene-roze-bank.png,"Die Groene & Die Roze",geverifieerd,,,
VRA-025,vraag,"Na 15 jaar samen vraagt Die Roze: 'Wat vind je écht van mijn kookkunst?'",groene-roze-keuken.png,"Die Groene & Die Roze",geverifieerd,,,
