id,type,bijschrift,fragment,bron,zekerheid,score,effect,notitie
SPC-001,speciaal,"Zwoele Man",zwoele-man.png,"Zwoele man",geverifieerd,,"Speel als Compromis. Wint of wordt-geraden? Dan +1 extra punt op de Liefdes-O-Meter — extra zwoel.","Bonus"
SPC-002,speciaal,"Te laat",te-laat.png,"Te laat",onzeker,,"Speel ná het onthullen: ruil je ingelegde Compromis alsnog om voor een nieuwe handkaart.","Reactieve omruil"
SPC-003,speciaal,"Djingle Djengle",djingle-djengle.png,"Djingle Djengle-sessie",geverifieerd,,"Je moet je Compromis zíngen. Lukt het zonder lachen, dan telt een fout geraden beurt deze ronde niet (Liefdes-O-Meter blijft staan).","Party + co-op"
SPC-004,speciaal,"Ik snap het zelf ook niet helemaal",ik-snap-het-niet.png,"Peter Lub-citaat",geverifieerd,,"Joker-Compromis: past op élke Vraag+Reactie. In Stelmodus mag je partner één keer opnieuw raden.","Geverifieerd citaat"
SPC-005,speciaal,"pilon",pilon.png,"pilon",geverifieerd,,"Leg een pilon als Compromis. Pure onzin — de jury (Feestmodus) mág hem niet negeren.","Running gag"
SPC-006,speciaal,"Konijntje",konijntje.png,"Konijntje (Aka The Junkies)",geverifieerd,,"Speel bij je Compromis: zó schattig dat je partner/jury hardop 'awww' moet zeggen voor er gestemd/geraden wordt.","Iconisch"
SPC-007,speciaal,"De Bonk (Supermegaberenbonken)",supermegaberenbonken.png,"Supermegaberenbonken",origineel,,"Stelmodus: zet je hele streak in. Goed geraden = dubbele punten; fout = Liefdes-O-Meter terug naar nul. All-in.","High risk"
SPC-008,speciaal,"Anoniem te werk",anoniem.png,"Peter Lub-citaat",geverifieerd,,"Feestmodus: deze ronde stemt de jury volledig blind; pas na de keuze onthult de winnaar zich.","Variant-trigger"
SPC-009,speciaal,"25 seconden lang",25secondenlang.png,"#25secondenlang",origineel,,"De beoordelende speler heeft 25 seconden (laat aftellen). Geen keuze/gok op tijd? Dan wint/scoort de inlegger.","Tijdsdruk"
SPC-010,speciaal,"Nieuw! (Plot Twist)",nieuw.png,"Nieuw!",origineel,,"Speel vóór het onthullen: vervang de Vraag-kaart door de bovenste van de stapel. Iedereen mag zijn Compromis wisselen.","Mid-ronde twist"
